"","P1","P2","YD","TP","GN","KGW"
"117","R127","R206",45.5705,15.581,120.108,25.1605
"118","R020","R056",48.3045,19.8635,95.1025,25.007
"119","R158","R182",47.8665,15.7565,121.3355,25.415
"120","R078","R191",47.315,14.984,131.532,23.927
"121","R120","R233",55.9455,17.116,129.536,25.824
"122","R108","R115",45.945,13.5725,122.2355,28.047
"123","R160","R205",43.10009147,14.10998374,116.0946179,27.3974309
"124","R006","R089",54.252,19.3145,125.03,22.572
"125","R007","R200",44.1555,14.53,116.235,26.1305
"126","R079","R203",38.86259147,14.61648374,112.0296179,24.1114309
"127","R004","R010",44.5135,15.323,122.5525,23.8495
"128","R157","R159",36.8735,13.894,108.983,24.7755
"129","R099","R103",47.9765,15.5555,139.4135,22.487
"130","R193","R236",38.732,17.976,92.2165,23.8415
"131","R184","R227",36.3,14.981,100.085,24.2055
"132","R033","R059",44.5495,13.683,125.1985,26.1435
"133","R167","R187",44.7275,12.5345,130.149,27.485
"134","R090","R154",36.7575,15.043,109.646,23.302
"135","R149","R204",29.989,14.9795,84.4465,24.243
"136","R070","R086",44.03209147,15.48698374,114.9836179,24.7724309
"137","R172","R174",51.4595,15.367,151.1535,22.668
"138","R040","R132",44.9145,17.2415,106.294,26.044
"139","R072","R197",47.9045,17.803,112.051,24.455
"140","R062","R087",47.722,15.389,115.9975,26.755
"141","R148","R178",50.9255,14.319,145.4345,24.7205
"142","R002","R022",40.001,16.0155,108.9315,24.682
"143","R076","R077",45.296,14.5,118.3465,27.4835
"144","R142","R161",51.9495,14.019,136.001,27.293
"145","R057","R180",42.818,15.3385,116.69,24.6115
"146","R082","R139",39.443,14.641,99.501,27.3795
"147","R069","R128",42.6705,13.944,123.3065,24.6115
"148","R013","R231",46.9895,16.4405,123.2215,23.724
"149","R121","R196",47.86,12.8785,153.7895,23.988
"150","R018","R214",51.618,14.5815,139.4355,25.653
"151","R049","R071",36.827,14.7385,112.1875,23.039
"152","R068","R073",41.40909147,16.81798374,97.3176179,25.9589309
"153","R125","R185",49.57,15.0255,129.2135,25.1585
"154","R129","R190",20.634,15.731,59.4175,24.4365
"155","R067","R170",48.281,16.314,120.4005,25.404
"156","R081","R153",43.7065,16.2425,113.4065,25.2425
"157","R017","R161",49.3915,16.4275,108.8615,28.307
"158","R098","R232",47.246,17.6615,115.045,24.233
"159","R042","R221",42.222,15.333,112.3245,25.371
"160","R066","R179",38.9,14.9675,108.523,24.139
"161","R016","R031",34.119,16.572,84.4005,25.3475
"162","R030","R138",53.669,16.408,120.967,27.2395
